filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Wirtschaftsingenieurwesen/378_29.05.2023 Wirtschaftsingenieurwesen - Bau.pdf,378_29.05.2023 Wirtschaftsingenieurwesen - Bau.pdf,84,...Modulhandbuch     für den     Bachelor -Studiengang       „Wirt...,True,
./PDF-files/Wirtschaftsingenieurwesen/35_03-05-2023 Business Engineering Logistics.pdf,35_03-05-2023 Business Engineering Logistics.pdf,152,...Modulhandbuch Studiengang Business Engineering Logistics Modulh...,True,
./PDF-files/Wirtschaftsingenieurwesen/212_16-05-2023 Wirtschaftsingenieur-in Umwelt und Nachhaltigkeit.pdf,212_16-05-2023 Wirtschaftsingenieur-in Umwelt und Nachhaltigkeit.pdf,65,...(B.Eng.)                 Stand 12.2020            Modulhandbuch    Modulhandbuch Bachelor -Studiengang Wirtschaft...,True,
./PDF-files/Wirtschaftsingenieurwesen/53_04-05-2023 Digital Industrial Management.pdf,53_04-05-2023 Digital Industrial Management.pdf,50,"...learned methods are used directly in the research modules 1, 2 and 3 as  well as the master’s thesis.   Teach...",True,
./PDF-files/Wirtschaftsingenieurwesen/364_27.05.2023 Wirtschaftsingenieurwesen.pdf,364_27.05.2023 Wirtschaftsingenieurwesen.pdf,68,...1/68                   Modulhandbuch            Bachelor -Studiengang   Wirtschaftsing...,True,
./PDF-files/Wirtschaftsingenieurwesen/534_12.06.2023 Wirtschaftsingenieurwesen - Technikmanagement.pdf,534_12.06.2023 Wirtschaftsingenieurwesen - Technikmanagement.pdf,71,...Fakultät 	Wirtschaftsingenieurwesen 	   Modulhandbuch 	   Wirtschaftsingenierwesen 	–	Technikmanagement...,True,
./PDF-files/Wirtschaftsingenieurwesen/344_25.05.2023 Wirtschaftsingenieurwesen.pdf,344_25.05.2023 Wirtschaftsingenieurwesen.pdf,54,...Modulhandbuch   für den Studiengang       BSc. Wirtschaftsingen...,True,
./PDF-files/Wirtschaftsingenieurwesen/340_25.05.2023 Wirtschaftsingenieurwesen.pdf,340_25.05.2023 Wirtschaftsingenieurwesen.pdf,91,...Modulhandbuch Wirtschaftsingenieurwesen Master erzeugt am 22.06...,True,
./PDF-files/Wirtschaftsingenieurwesen/202_16-05-2023 Wirtschaftsingenieurwesen.pdf,202_16-05-2023 Wirtschaftsingenieurwesen.pdf,102,"...reiche Ingenieurwesen & Wirtschaftswissenschaften Modulhandbuch BA Wirtschaftsingenieurwesen (PO-2022, ab WS 2022...",True,
./PDF-files/Wirtschaftsingenieurwesen/300_23.05.2023 Wirtschaftsingenieurwesen.pdf,300_23.05.2023 Wirtschaftsingenieurwesen.pdf,153,"...ssel, Fachbereich Wirtschaftswissenschaften       Modulhandbuch für den Studiengang         Bachelor of Science (...",True,
./PDF-files/Wirtschaftsingenieurwesen/396_30.05.2023 Wirtschaftsingenieurwesen_Berufsbegleitendes Studienprogramm des Graduate Campus Hochschule Aalen.pdf,396_30.05.2023 Wirtschaftsingenieurwesen_Berufsbegleitendes Studienprogramm des Graduate Campus Hochschule Aalen.pdf,140,...1Bachelor Wirtschaftsingenieurwesen SPO 206 MODULHANDBUCH EPO-Version 206 Stand: 09.05.2022 2Inhaltsverzeic...,True,
./PDF-files/Wirtschaftsingenieurwesen/183_15-05-2023 Technologie-Entrepreneurship.pdf,183_15-05-2023 Technologie-Entrepreneurship.pdf,36,...Modulhandbuch für den Studiengang Technologie-Entrepreneurship...,True,
./PDF-files/Wirtschaftsingenieurwesen/60_04-05-2023 MA Energiewirtschaft.pdf,60_04-05-2023 MA Energiewirtschaft.pdf,37,...Anlage 5   Modulhandbuch des Studiengangs       Studiengang Energiewirtsch...,True,
./PDF-files/Wirtschaftsingenieurwesen/347_26.05.2023 Wirtschaftsingenieurwesen.pdf,347_26.05.2023 Wirtschaftsingenieurwesen.pdf,92,...Modulhandbuch Bachelor of Science Wirtschaftsingenieurwesen Sta...,True,
./PDF-files/Wirtschaftsingenieurwesen/2_27-04-2023 wirtschaftsingenieurwesen-industrie-40.pdf,2_27-04-2023 wirtschaftsingenieurwesen-industrie-40.pdf,111,...Modulkatalog   Wirtschaftsingenie urwesen – Industrie 4.0 – Ba...,True,
./PDF-files/Wirtschaftsingenieurwesen/339_25.05.2023 Wirtschaftsingenieurwesen.pdf,339_25.05.2023 Wirtschaftsingenieurwesen.pdf,91,"...k Kneip, Prof. Dr. Rudolf Friedrich 1             Modulkatalog       Berufsintegrierender Bachelor-Studiengang...",True,
./PDF-files/Wirtschaftsingenieurwesen/462_06.06.2023 Wirtschaftsingenieurwesen - Geoinformation.pdf,462_06.06.2023 Wirtschaftsingenieurwesen - Geoinformation.pdf,60,...Modulhandbuch   Wirtschaftsinge nieurwesen -  Geoinformation (B...,True,
./PDF-files/Wirtschaftsingenieurwesen/28_02-05-2023 Maschinenbau.pdf,28_02-05-2023 Maschinenbau.pdf,46,...Modulhandbuch MB / WIMB –  SPO vom 22.03.2022  –  Stand 16.05.2...,True,
./PDF-files/Wirtschaftsingenieurwesen/427_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,427_04.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,188,...Modulhandbuch Beschreibung des Studiengangs Wirtschaftsingenieu...,True,
./PDF-files/Wirtschaftsingenieurwesen/94_08-05-2023 Industrial Engineering B.Sc..pdf,94_08-05-2023 Industrial Engineering B.Sc..pdf,95,...Module Handbook Industrial Engineering B.Sc.     1           Modu...,True,
./PDF-files/Wirtschaftsingenieurwesen/153_11-05-2023 Produktion und Prozessmanagement.pdf,153_11-05-2023 Produktion und Prozessmanagement.pdf,146,...Modulhandbuch Studiengang Produktion und Prozessmanagement Modu...,True,
./PDF-files/Wirtschaftsingenieurwesen/301_23.05.2023 Wirtschaftsingenieurwesen.pdf,301_23.05.2023 Wirtschaftsingenieurwesen.pdf,57,"...Kassel, Fachbereich Wirtschaftswissenschaften     Modulhandbuch für den Studiengang     Master  of Science ( M.Sc...",True,
./PDF-files/Wirtschaftsingenieurwesen/494_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,494_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,59,...Modulhandbuch     für den     Bachelor -Studiengang       „Wirt...,True,
./PDF-files/Wirtschaftsingenieurwesen/388_30.05.2023 Wirtschaftsingenieurwesen (Bau und Immobilien).pdf,388_30.05.2023 Wirtschaftsingenieurwesen (Bau und Immobilien).pdf,137,...Inhaltsverzeichnis     Modulübersicht ................................ ...................,True,
./PDF-files/Wirtschaftsingenieurwesen/440_05.06.2023 Wirtschaftsingenieurwesen - Energiesysteme.pdf,440_05.06.2023 Wirtschaftsingenieurwesen - Energiesysteme.pdf,235,...Wirtschaftsingenieurwesen­ Energiesysteme Modulhandbuch Bachelor of Engineering (B. Eng.) BPO 2017 (für S...,True,
./PDF-files/Wirtschaftsingenieurwesen/528_12.06.2023 Wirtschaftsingenieurwesen Produkt- und Innovationsmanagement.pdf,528_12.06.2023 Wirtschaftsingenieurwesen Produkt- und Innovationsmanagement.pdf,83,...Modulkatalog   Wirtschaftsingenieurwesen - Produkt - und  Inno...,True,
./PDF-files/Wirtschaftsingenieurwesen/83_08-05-2023 Entwicklung und Management im Maschinen und Automobilbau.pdf,83_08-05-2023 Entwicklung und Management im Maschinen und Automobilbau.pdf,120,...Modulhandbuch MM – Stand 08.07.2021  – Änderungen vorbehalten...,True,
./PDF-files/Wirtschaftsingenieurwesen/385_29.05.2023 Wirtschaftsingenieurwesen Bauingenieurwesen.pdf,385_29.05.2023 Wirtschaftsingenieurwesen Bauingenieurwesen.pdf,147,...Modulhandbuch    Beschreibung des Studiengangs  Wirtschaftsinge...,True,
./PDF-files/Wirtschaftsingenieurwesen/118_09-05-2023 International Product and Service Management.pdf,118_09-05-2023 International Product and Service Management.pdf,58,...Modulhandbuch   International Product and Service Management (S...,True,
./PDF-files/Wirtschaftsingenieurwesen/171_12-05-2023 Systems Engineering.pdf,171_12-05-2023 Systems Engineering.pdf,44,...r München Werner-Heisenberg-Weg 39 85577Neubiberg Modulhandbuch des Studiengangs Systems Engineering (Master of S...,True,
./PDF-files/Wirtschaftsingenieurwesen/491_08.06.2023 Wirtschaftsingenieurwesen_Maschinenbau.pdf,491_08.06.2023 Wirtschaftsingenieurwesen_Maschinenbau.pdf,186,...Maschinenbau (inkl. monoedukative Variante) Modulhandbuch Bachelor of Science (B. Sc.) BPO 2018 (für Studie...,True,
./PDF-files/Wirtschaftsingenieurwesen/165_12-05-2023 Sustainable Business and Technology.pdf,165_12-05-2023 Sustainable Business and Technology.pdf,134,"..., 29 and 30) are to be selected from the elective module catalog for  the degree program regulated by these regula...",True,
