filepath,status,reason,score,matched_groups,matched_group_count
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/797_28.06.2023 Facility Management und Immobilienwirtschaft.pdf,scanned,,0.8,assessment;content;credits_workload;modul_title,4
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1023_11.07.2023 Interdisziplinäre Ingenieurwissenschaften.pdf,scanned,,0.8,assessment;content;credits_workload;modul_title,4
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1005_11.07.2023 Gefahrenabwehr_Hazard Control.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1049_12.07.2023 Smart Building Engineering and Management.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/963_09.07.2023 Energieeffizientes Gebäudedesign.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
"./PDF-files/Gebäudeausrüstungs- und Versorgungstechnik/1061_13.07.2023 Technisches Management in der Energie-, Gebäude- und Umwelttechnik.pdf",scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/184_15-05-2023 Technologiemanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/360_26.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/542_13.06.2023 Wirtschaftsingenieurwesen Technischer Vertrieb.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/516_09.06.2023 Wirtschaftsingenieurwesen online.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/206_16-05-2023 Wirtschaftsingenieur-in Energietechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/52_04-05-2023 Digitale Technologien dual praxisintegrierend.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/371_29.05.2023 Wirtschaftsingenieurwesen Agrar_Lebensmittel.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/469_06.06.2023 Wirtschaftsingenieurwesen Industrie 4.0.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/51_04-05-2023 Digitale Technologien.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/505_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
"./PDF-files/Wirtschaftsingenieurwesen/82_08-05-2023 Entwicklung, Produktion und Management im Maschinenbau.pdf",scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/581_15.06.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/430_04.06.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/548_13.06.2023 Wirtschaftsingenieurwesen Teilzeit.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/123_10-05-2023 Intra- und Entrepreneurship (tech).pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/490_08.06.2023 Wirtschaftsingenieurwesen - Maschinenbau.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/323_24.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/348_26.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/233_ 17.05.2023  Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/483_07.06.2023 Wirtschaftsingenieurwesen - Logistik und Produktionsmanagement.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/378_29.05.2023 Wirtschaftsingenieurwesen - Bau.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/127_10-05-2023 Logistik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/135_10-05-2023 Management und Technik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/35_03-05-2023 Business Engineering Logistics.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/231_17.05.2023 Wirtschaftsingenieurwesen.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/212_16-05-2023 Wirtschaftsingenieur-in Umwelt und Nachhaltigkeit.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
./PDF-files/Wirtschaftsingenieurwesen/459_06.06.2023 Wirtschaftsingenieurwesen für Verfahrens- und Energietechnik.pdf,scanned,,1.0,assessment;content;credits_workload;learning_outcomes;modul_title,5
