filepath,filename,page_count,keyword_context,is_handbook,error
./PDF-files/Wirtschaftsingenieurwesen/127_10-05-2023 Logistik.pdf,127_10-05-2023 Logistik.pdf,113,,False,
./PDF-files/Wirtschaftsingenieurwesen/135_10-05-2023 Management und Technik.pdf,135_10-05-2023 Management und Technik.pdf,74,,False,
./PDF-files/Wirtschaftsingenieurwesen/231_17.05.2023 Wirtschaftsingenieurwesen.pdf,231_17.05.2023 Wirtschaftsingenieurwesen.pdf,31,,False,
./PDF-files/Wirtschaftsingenieurwesen/459_06.06.2023 Wirtschaftsingenieurwesen für Verfahrens- und Energietechnik.pdf,459_06.06.2023 Wirtschaftsingenieurwesen für Verfahrens- und Energietechnik.pdf,125,,False,
./PDF-files/Wirtschaftsingenieurwesen/36_03-05-2023 Business Management and Engineering.pdf,36_03-05-2023 Business Management and Engineering.pdf,75,,False,
./PDF-files/Wirtschaftsingenieurwesen/29_03-05-2023 Agribusiness.pdf,29_03-05-2023 Agribusiness.pdf,68,,False,
./PDF-files/Wirtschaftsingenieurwesen/179_15-05-2023 Technisches Immobilienmanagement.pdf,179_15-05-2023 Technisches Immobilienmanagement.pdf,98,,False,
./PDF-files/Wirtschaftsingenieurwesen/242_19.05.2023 Wirtschaftsingenieurwesen.pdf,242_19.05.2023 Wirtschaftsingenieurwesen.pdf,70,,False,
./PDF-files/Wirtschaftsingenieurwesen/20_02-05-2023 Internationales_Wirtschaftsingenieurwesen.pdf,20_02-05-2023 Internationales_Wirtschaftsingenieurwesen.pdf,367,,False,
./PDF-files/Wirtschaftsingenieurwesen/455_06.06.2023 Wirtschaftsingenieurwesen für Elektrotechnik und Informationstechnik.pdf,455_06.06.2023 Wirtschaftsingenieurwesen für Elektrotechnik und Informationstechnik.pdf,66,,False,
./PDF-files/Wirtschaftsingenieurwesen/342_25.05.2023 Wirtschaftsingenieurwesen.pdf,342_25.05.2023 Wirtschaftsingenieurwesen.pdf,189,,False,
./PDF-files/Wirtschaftsingenieurwesen/405_01.06.2023 Wirtschaftsingenieurwesen - Digital Engineering & Management.pdf,405_01.06.2023 Wirtschaftsingenieurwesen - Digital Engineering & Management.pdf,39,,False,
./PDF-files/Wirtschaftsingenieurwesen/238_17.05.2023 Wirtschaftsingenieurwesen.pdf,238_17.05.2023 Wirtschaftsingenieurwesen.pdf,110,,False,
./PDF-files/Wirtschaftsingenieurwesen/8_29-04-2023 Engineering and Management.pdf,8_29-04-2023 Engineering and Management.pdf,199,,False,
./PDF-files/Wirtschaftsingenieurwesen/377_29.05.2023 Wirtschaftsingenieurwesen (Bau).pdf,377_29.05.2023 Wirtschaftsingenieurwesen (Bau).pdf,82,,False,
./PDF-files/Wirtschaftsingenieurwesen/552_13.06.2023 Wirtschaftsingenieurwesen_weiterbildender Studiengang.pdf,552_13.06.2023 Wirtschaftsingenieurwesen_weiterbildender Studiengang.pdf,59,,False,
./PDF-files/Wirtschaftsingenieurwesen/538_12.06.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Elektrotechnik.pdf,538_12.06.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Elektrotechnik.pdf,151,,False,
./PDF-files/Wirtschaftsingenieurwesen/952_07.07.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Bauingenieurwesen.pdf,952_07.07.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Bauingenieurwesen.pdf,207,,False,
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023b_modulhandbuch_wi_ener.pdf,56_04-05-2023b_modulhandbuch_wi_ener.pdf,137,,False,
./PDF-files/Wirtschaftsingenieurwesen/267_21.05.2023 Wirtschaftsingenieurwesen.pdf,267_21.05.2023 Wirtschaftsingenieurwesen.pdf,56,,False,
./PDF-files/Wirtschaftsingenieurwesen/947_07.07.2023 Wirtschaftsingenieurwesen Bautechnik und -management.pdf,947_07.07.2023 Wirtschaftsingenieurwesen Bautechnik und -management.pdf,35,,False,
./PDF-files/Wirtschaftsingenieurwesen/275_21.05.2023 Wirtschaftsingenieurwesen.pdf,275_21.05.2023 Wirtschaftsingenieurwesen.pdf,116,,False,
./PDF-files/Wirtschaftsingenieurwesen/108_09-05-2023 Integrated Design Engineering.pdf,108_09-05-2023 Integrated Design Engineering.pdf,38,,False,
./PDF-files/Wirtschaftsingenieurwesen/189_15-05-2023 Vertriebsingenieur in.pdf,189_15-05-2023 Vertriebsingenieur in.pdf,52,,False,
./PDF-files/Wirtschaftsingenieurwesen/128_10-05-2023 Logistikmanagement.pdf,128_10-05-2023 Logistikmanagement.pdf,127,,False,
./PDF-files/Wirtschaftsingenieurwesen/464_06.06.2023 Wirtschaftsingenieurwesen - Immobilien.pdf,464_06.06.2023 Wirtschaftsingenieurwesen - Immobilien.pdf,54,,False,
./PDF-files/Wirtschaftsingenieurwesen/527_12.06.2023 Wirtschaftsingenieurwesen - Produktion und Logistik.pdf,527_12.06.2023 Wirtschaftsingenieurwesen - Produktion und Logistik.pdf,60,,False,
./PDF-files/Wirtschaftsingenieurwesen/1_27.04.2023 Bauwirtschaftsingenieurwesen.pdf,1_27.04.2023 Bauwirtschaftsingenieurwesen.pdf,25,,False,
./PDF-files/Wirtschaftsingenieurwesen/412_01.06.2023 Wirtschaftsingenieurwesen dual ausbildungsintegrierend.pdf,412_01.06.2023 Wirtschaftsingenieurwesen dual ausbildungsintegrierend.pdf,102,,False,
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023d_modulhandbuch_wi_dig.pdf,56_04-05-2023d_modulhandbuch_wi_dig.pdf,131,,False,
./PDF-files/Wirtschaftsingenieurwesen/56_04-05-2023a_modulhandbuch_wi_prod.pdf,56_04-05-2023a_modulhandbuch_wi_prod.pdf,135,,False,
./PDF-files/Wirtschaftsingenieurwesen/549_13.06.2023 Wirtschaftsingenieurwesen Umweltplanung.pdf,549_13.06.2023 Wirtschaftsingenieurwesen Umweltplanung.pdf,74,,False,
./PDF-files/Wirtschaftsingenieurwesen/292_23.05.2023 Wirtschaftsingenieurwesen.pdf,292_23.05.2023 Wirtschaftsingenieurwesen.pdf,86,,False,
./PDF-files/Wirtschaftsingenieurwesen/569_14.06.2023_Engineering_and_Management.pdf,569_14.06.2023_Engineering_and_Management.pdf,28,,False,
./PDF-files/Wirtschaftsingenieurwesen/195_15-05-2023 Wirtschaftsinformatik.pdf,195_15-05-2023 Wirtschaftsinformatik.pdf,98,,False,
./PDF-files/Wirtschaftsingenieurwesen/463_06.06.2023 Wirtschaftsingenieurwesen_Immobilien.pdf,463_06.06.2023 Wirtschaftsingenieurwesen_Immobilien.pdf,135,,False,
./PDF-files/Wirtschaftsingenieurwesen/180_15-05-2023 Technisches Innovationsmanagement.pdf,180_15-05-2023 Technisches Innovationsmanagement.pdf,26,,False,
./PDF-files/Wirtschaftsingenieurwesen/558_13.06.2023 Business Administration and Engineering.pdf,558_13.06.2023 Business Administration and Engineering.pdf,34,,False,
./PDF-files/Wirtschaftsingenieurwesen/235_ 17.05.2023  Wirtschaftsingenieurwesen.pdf,235_ 17.05.2023  Wirtschaftsingenieurwesen.pdf,48,,False,
./PDF-files/Wirtschaftsingenieurwesen/319_24.05.2023 Wirtschaftsingenieurwesen.pdf,319_24.05.2023 Wirtschaftsingenieurwesen.pdf,172,,False,
./PDF-files/Wirtschaftsingenieurwesen/297_23.05.2023 Wirtschaftsingenieurwesen.pdf,297_23.05.2023 Wirtschaftsingenieurwesen.pdf,67,,False,
./PDF-files/Wirtschaftsingenieurwesen/553_13.06.2023 Wirtschaftsingenieurwesen  Werkstoff- und Prozesstechnik.pdf,553_13.06.2023 Wirtschaftsingenieurwesen  Werkstoff- und Prozesstechnik.pdf,87,,False,
"./PDF-files/Wirtschaftsingenieurwesen/168_12-05-2023 Sustainable Resources, Engineering and Management.pdf","168_12-05-2023 Sustainable Resources, Engineering and Management.pdf",78,,False,
./PDF-files/Wirtschaftsingenieurwesen/19_02-05-2023 Internationales Wirtschaftsingenieurwesen.pdf,19_02-05-2023 Internationales Wirtschaftsingenieurwesen.pdf,118,,False,
./PDF-files/Wirtschaftsingenieurwesen/90_08-05-2023 Immobilientechnik und Immobilienwirtschaft.pdf,90_08-05-2023 Immobilientechnik und Immobilienwirtschaft.pdf,176,,False,
./PDF-files/Wirtschaftsingenieurwesen/578_14.06.2023 Unternehmenslogistik.pdf,578_14.06.2023 Unternehmenslogistik.pdf,46,,False,
./PDF-files/Wirtschaftsingenieurwesen/531_12.06.2023 Wirtschaftsingenieurwesen (Schwerpunkt Management).pdf,531_12.06.2023 Wirtschaftsingenieurwesen (Schwerpunkt Management).pdf,52,,False,
./PDF-files/Wirtschaftsingenieurwesen/460_06.06.2023 Wirtschaftsingenieurwesen für Verfahrens- und Energietechnik.pdf,460_06.06.2023 Wirtschaftsingenieurwesen für Verfahrens- und Energietechnik.pdf,125,,False,
./PDF-files/Wirtschaftsingenieurwesen/138_11-05-2023 MBA & Engineering.pdf,138_11-05-2023 MBA & Engineering.pdf,163,,False,
./PDF-files/Wirtschaftsingenieurwesen/322_24.05.2023 Wirtschaftsingenieurwesen.pdf,322_24.05.2023 Wirtschaftsingenieurwesen.pdf,23,,False,
./PDF-files/Wirtschaftsingenieurwesen/424_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,424_03.06.2023 Wirtschaftsingenieurwesen Elektrotechnik.pdf,67,,False,
./PDF-files/Wirtschaftsingenieurwesen/99_08-05-2023 Industrial Engineering und Management.pdf,99_08-05-2023 Industrial Engineering und Management.pdf,22,,False,
./PDF-files/Wirtschaftsingenieurwesen/279_21.05.2023 Wirtschaftsingenieurwesen.pdf,279_21.05.2023 Wirtschaftsingenieurwesen.pdf,56,,False,
./PDF-files/Wirtschaftsingenieurwesen/50_04-05-2023 Digitale Technologien.pdf,50_04-05-2023 Digitale Technologien.pdf,30,,False,
./PDF-files/Wirtschaftsingenieurwesen/503_08.06.2023 Wirtschaftsingenieurwesen.pdf,503_08.06.2023 Wirtschaftsingenieurwesen.pdf,621,,False,
./PDF-files/Wirtschaftsingenieurwesen/357_26.05.2023 Wirtschaftsingenieurwesen.pdf,357_26.05.2023 Wirtschaftsingenieurwesen.pdf,247,,False,
./PDF-files/Wirtschaftsingenieurwesen/376_29.05.2023 Wirtschaftsingenieurwesen Automotive (Recklinghausen).pdf,376_29.05.2023 Wirtschaftsingenieurwesen Automotive (Recklinghausen).pdf,44,,False,
./PDF-files/Wirtschaftsingenieurwesen/24_02-05-2023 Logistik.pdf,24_02-05-2023 Logistik.pdf,102,,False,
./PDF-files/Wirtschaftsingenieurwesen/261_19.05.2023 Wirtschaftsingenieurwesen.pdf,261_19.05.2023 Wirtschaftsingenieurwesen.pdf,1253,,False,
./PDF-files/Wirtschaftsingenieurwesen/293_23.05.2023 Wirtschaftsingenieurwesen.pdf,293_23.05.2023 Wirtschaftsingenieurwesen.pdf,258,,False,
"./PDF-files/Wirtschaftsingenieurwesen/393_30.05.2023 Wirtschaftsingenieurwesen, berufsbegleitend.pdf","393_30.05.2023 Wirtschaftsingenieurwesen, berufsbegleitend.pdf",72,,False,
./PDF-files/Wirtschaftsingenieurwesen/95_08-05-2023 Industrial Engineering.pdf,95_08-05-2023 Industrial Engineering.pdf,113,,False,
./PDF-files/Wirtschaftsingenieurwesen/84_08-05-2023 Erneuerbare Energien.pdf,84_08-05-2023 Erneuerbare Energien.pdf,60,,False,
./PDF-files/Wirtschaftsingenieurwesen/358_26.05.2023 Wirtschaftsingenieurwesen.pdf,358_26.05.2023 Wirtschaftsingenieurwesen.pdf,125,,False,
./PDF-files/Wirtschaftsingenieurwesen/951_07.07.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Bauingenieurwesen.pdf,951_07.07.2023 Wirtschaftsingenieurwesen - technische Fachrichtung Bauingenieurwesen.pdf,113,,False,
./PDF-files/Wirtschaftsingenieurwesen/134_10-05-2023 Management für Ingenieur- und Naturwissenschaften.pdf,134_10-05-2023 Management für Ingenieur- und Naturwissenschaften.pdf,39,,False,
./PDF-files/Wirtschaftsingenieurwesen/547_13.06.2023 Wirtschaftsingenieurwesen Technologie und Nachhaltigkeit.pdf,547_13.06.2023 Wirtschaftsingenieurwesen Technologie und Nachhaltigkeit.pdf,166,,False,
./PDF-files/Wirtschaftsingenieurwesen/492_20.08.2023 Wirtschaftsingenieurwesen_Maschinenbau.pdf,492_20.08.2023 Wirtschaftsingenieurwesen_Maschinenbau.pdf,419,,False,
