filepath,exists,sustainability,nachhaltigkeit,entrepreneurship,unternehmertum,handlungsorientiert,sustainability_flag,entrepreneurship_flag
./PDF-files/Wirtschaftsingenieurwesen/569_14.06.2023_Engineering_and_Management.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/195_15-05-2023 Wirtschaftsinformatik.pdf,True,True,True,True,False,False,True,True
./PDF-files/Wirtschaftsingenieurwesen/494_08.06.2023 Wirtschaftsingenieurwesen Maschinenbau.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/463_06.06.2023 Wirtschaftsingenieurwesen_Immobilien.pdf,True,True,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/180_15-05-2023 Technisches Innovationsmanagement.pdf,True,False,True,True,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/388_30.05.2023 Wirtschaftsingenieurwesen (Bau und Immobilien).pdf,True,False,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/558_13.06.2023 Business Administration and Engineering.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/235_ 17.05.2023  Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/319_24.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,True,False,False,True,True,True
./PDF-files/Wirtschaftsingenieurwesen/440_05.06.2023 Wirtschaftsingenieurwesen - Energiesysteme.pdf,True,False,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/297_23.05.2023 Wirtschaftsingenieurwesen.pdf,True,False,False,False,False,False,False,False
./PDF-files/Wirtschaftsingenieurwesen/553_13.06.2023 Wirtschaftsingenieurwesen  Werkstoff- und Prozesstechnik.pdf,True,True,True,False,False,False,True,False
"./PDF-files/Wirtschaftsingenieurwesen/168_12-05-2023 Sustainable Resources, Engineering and Management.pdf",True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/19_02-05-2023 Internationales Wirtschaftsingenieurwesen.pdf,True,True,True,False,False,False,True,False
./PDF-files/Wirtschaftsingenieurwesen/90_08-05-2023 Immobilientechnik und Immobilienwirtschaft.pdf,True,False,True,False,False,False,True,False
